iter	Passed	Remaining
0	5	5839
1	7	3585
2	8	2731
3	9	2349
4	10	2038
5	11	1900
6	12	1778
7	13	1698
8	14	1623
9	15	1562
10	16	1510
11	18	1549
12	20	1559
13	21	1513
14	22	1476
15	23	1452
16	24	1423
17	25	1397
18	26	1375
19	27	1357
20	28	1337
21	29	1318
22	30	1304
23	31	1289
24	32	1277
25	34	1274
26	35	1263
27	36	1258
28	37	1249
29	38	1240
30	39	1234
31	40	1224
32	41	1220
33	42	1212
34	43	1203
35	44	1195
36	45	1186
37	46	1183
38	47	1176
39	49	1182
40	50	1182
41	52	1186
42	53	1181
43	54	1176
44	55	1169
45	56	1167
46	57	1162
47	58	1158
48	59	1152
49	60	1148
50	61	1145
51	62	1143
52	63	1137
53	64	1132
54	65	1128
55	66	1125
56	67	1124
57	69	1120
58	69	1116
59	71	1115
60	72	1111
61	73	1110
62	74	1107
63	75	1106
64	76	1104
65	77	1100
66	78	1097
67	79	1095
68	81	1094
69	82	1091
70	83	1090
71	84	1089
72	85	1087
73	86	1084
74	87	1083
75	89	1082
76	90	1080
77	91	1077
78	92	1074
79	93	1071
80	94	1068
81	95	1066
82	96	1063
83	97	1061
84	98	1060
85	99	1057
86	100	1054
87	101	1051
88	102	1051
89	103	1050
90	105	1049
91	106	1047
92	107	1046
93	108	1044
94	109	1041
95	110	1039
96	111	1037
97	112	1035
98	113	1032
99	114	1029
100	115	1027
101	116	1026
102	117	1023
103	118	1021
104	119	1020
105	120	1019
106	121	1017
107	123	1016
108	124	1013
109	125	1012
110	126	1009
111	127	1008
112	128	1006
113	129	1004
114	130	1002
115	131	1002
116	132	1001
117	133	1000
118	135	1000
119	136	997
120	137	997
121	138	995
122	139	993
123	140	992
124	141	990
125	142	989
126	143	988
127	144	987
128	146	985
129	147	985
130	148	984
131	149	982
132	150	982
133	151	981
134	152	979
135	154	978
136	155	976
137	156	975
138	157	973
139	158	972
140	159	970
141	160	969
142	161	967
143	162	966
144	163	964
145	164	962
146	165	961
147	166	959
148	167	958
149	168	956
150	169	955
151	171	954
152	172	952
153	173	950
154	174	950
155	175	949
156	176	948
157	177	945
158	178	944
159	179	943
160	180	941
161	181	939
162	182	938
163	183	936
164	184	934
165	185	934
166	186	932
167	188	931
168	189	930
169	190	928
170	191	927
171	192	927
172	193	925
173	194	923
174	195	922
175	196	920
176	197	919
177	198	918
178	199	916
179	200	915
180	202	914
181	202	911
182	203	910
183	204	908
184	205	906
185	206	905
186	208	904
187	209	903
188	210	902
189	211	900
190	212	899
191	213	898
192	214	897
193	215	895
194	216	895
195	217	893
196	218	892
197	220	891
198	221	890
199	222	889
200	223	887
201	224	886
202	225	884
203	226	884
204	227	882
205	228	881
206	229	879
207	231	881
208	232	880
209	233	878
210	234	877
211	235	876
212	236	874
213	237	873
214	238	871
215	239	869
216	240	867
217	241	866
218	242	865
219	243	863
220	244	862
221	245	861
222	247	861
223	248	860
224	249	860
225	250	858
226	251	857
227	252	856
228	253	854
229	254	853
230	255	851
231	257	850
232	258	849
233	259	848
234	260	847
235	261	846
236	262	845
237	263	844
238	265	843
239	266	842
240	267	841
241	268	840
242	269	838
243	270	837
244	271	837
245	272	836
246	274	835
247	275	834
248	276	833
249	277	832
250	278	830
251	279	829
252	280	828
253	281	826
254	282	825
255	283	824
256	284	823
257	285	821
258	287	821
259	288	819
260	289	818
261	290	817
262	291	816
263	292	814
264	293	813
265	294	812
266	295	811
267	296	810
268	297	808
269	298	807
270	299	806
271	300	805
272	301	804
273	303	802
274	303	801
275	305	800
276	306	799
277	307	797
278	308	796
279	309	794
280	310	793
281	311	792
282	312	791
283	313	790
284	314	788
285	315	786
286	316	786
287	317	785
288	318	783
289	319	782
290	320	781
291	321	779
292	322	778
293	323	777
294	324	776
295	326	775
296	327	774
297	328	773
298	329	772
299	330	771
300	331	770
301	332	768
302	333	767
303	335	767
304	336	765
305	337	764
306	338	763
307	339	762
308	340	761
309	341	760
310	342	759
311	344	758
312	345	757
313	346	756
314	347	755
315	348	754
316	349	753
317	350	752
318	351	750
319	352	749
320	353	748
321	355	747
322	356	746
323	357	745
324	358	743
325	359	742
326	360	741
327	361	740
328	362	738
329	363	737
330	364	736
331	365	735
332	366	734
333	367	732
334	368	731
335	369	730
336	370	729
337	371	728
338	372	726
339	373	725
340	374	724
341	375	723
342	376	721
343	377	720
344	379	719
345	380	719
346	381	717
347	382	716
348	383	715
349	384	714
350	385	713
351	386	711
352	387	710
353	388	709
354	389	708
355	390	707
356	391	705
357	393	705
358	394	703
359	395	702
360	396	701
361	397	700
362	398	699
363	399	697
364	400	696
365	401	695
366	402	694
367	403	693
368	405	693
369	406	692
370	408	691
371	409	690
372	410	689
373	411	688
374	412	688
375	413	686
376	415	685
377	416	684
378	417	683
379	418	682
380	419	681
381	420	679
382	421	678
383	422	677
384	423	677
385	424	675
386	425	674
387	426	673
388	428	672
389	429	671
390	430	669
391	431	668
392	432	667
393	433	666
394	434	664
395	435	663
396	436	662
397	437	661
398	438	660
399	439	659
400	440	658
401	441	656
402	442	655
403	443	654
404	445	654
405	446	653
406	447	652
407	448	651
408	450	650
409	451	649
410	452	648
411	453	647
412	454	646
413	455	644
414	456	643
415	457	642
416	458	641
417	459	640
418	461	639
419	462	638
420	463	637
421	464	636
422	465	635
423	466	634
424	467	632
425	468	631
426	469	630
427	470	629
428	471	628
429	472	626
430	473	625
431	475	624
432	476	623
433	477	622
434	478	621
435	479	620
436	480	619
437	481	618
438	482	616
439	483	615
440	484	614
441	485	613
442	486	612
443	487	610
444	489	610
445	490	609
446	491	607
447	492	606
448	493	605
449	494	604
450	495	603
451	496	602
452	497	601
453	498	599
454	499	598
455	500	597
456	501	596
457	502	595
458	504	594
459	505	593
460	506	592
461	507	590
462	508	589
463	509	589
464	511	588
465	513	587
466	514	586
467	515	585
468	516	584
469	517	583
470	518	582
